id;idm_id;description;ocupation;name;image;created;modified
60;nm0836121;"Michael Stuhlbarg was born on July 5, 1968 in Long Beach, California, USA. He is an actor, known for A Serious Man (2009), Boardwalk Empire (2010) and Men in Black 3 (2012). He has been married to Mai-Linh Lofgren since August 2013.                                See full bio &raquo;";{actor};Michael Stuhlbarg;https://images-na.ssl-images-amazon.com/images/M/MV5BNDcwMjA2MDMwM15BMl5BanBnXkFtZTcwNjU1NzE4Mg@@._V1_UX214_CR0,0,214,317_AL_.jpg;2016-11-17 14:58:19.605493;
61;nm0000973;"The middle of five children, Bratt hails from a close-knit family. His mother, an indigenous Quechua Peruvian from Lima, moved to the U.S. at age 14. He grew up in San Francisco. He is known for his roles in the films Traffic (2000), Miss Congeniality (2000), and Despicable Me 2 (2013). He is married to actress Talisa Soto.                                See full bio &raquo;";{actor,producer};Benjamin Bratt (I);https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNDIwOTI5N15BMl5BanBnXkFtZTcwMDcwMjQyNg@@._V1_UY317_CR14,0,214,317_AL_.jpg;2016-11-17 14:59:49.706242;
62;nm0012078;"Scott Edward Adkins was born on June 17, 1976 in Sutton Coldfield, England, into a family that for generations were butchers. Along with his elder brother Craig, he was raised by their parents, John and Janet (Sanders) Adkins, in a loving middle-class family. Scott attended Bishop Vesey's Grammar School in Sutton Coldfield. Probably not the best ...                                See full bio &raquo;";{actor,producer,stunts};Scott Adkins (II);https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NTQxMjMxNl5BMl5BanBnXkFtZTgwMTE1NzM0MDI@._V1_UY317_CR34,0,214,317_AL_.jpg;2016-11-17 15:02:22.595759;
63;nm2333360;"Zara Phythian is known for her work on He Who Dares (2014), The Hike (2011) and Underground (2007).                                See full bio &raquo;";{actress,stunts,producer};Zara Phythian;https://images-na.ssl-images-amazon.com/images/M/MV5BMjQzNjQ5MzA4Ml5BMl5BanBnXkFtZTgwOTcwNzczMDI@._V1_UX214_CR0,0,214,317_AL_.jpg;2016-11-17 15:04:27.001894;
64;nm2349733;"Alaa was born and raised in France to Moroccan parents. He started practicing Taekwondo as a child. At the age of 18 he's a high level martial artist with several international titles, including Taekwonmudo World Champion in 2002. His acrobatic and fighting skills take him to Thailand, where he trains with a professional stunt team for two years. ...                                See full bio &raquo;";{actor,stunts,editor};Alaa Safi;https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTE1NDAxN15BMl5BanBnXkFtZTgwNjczMzc0MDI@._V1_UY317_CR36,0,214,317_AL_.jpg;2016-11-17 15:05:07.86156;
65;nm7167836;"Katrina Durden is known for her work on Doctor Strange (2016) and Street Fighter: Resurrection (2016).                                See full bio &raquo;";{actress,stunts};Katrina Durden;https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MjQ4MTcyOV5BMl5BanBnXkFtZTgwNjQzNDM0MDI@._V1_UY317_CR86,0,214,317_AL_.jpg;2016-11-17 15:06:23.00633;
66;nm8508973;"Topo Wresniwiro is an actor, known for Doctor Strange (2016).                                See full bio &raquo;";{actor};Topo Wresniwiro;;2016-11-17 15:06:30.546291;
67;nm3203072;"Actor/Photographer Umit Ulgen was born in Ankara. In his early years he grew up in Bulgaria small town near Ruse called Slivo Pole. His mothers home town. His father is a retired Journalists, quite a famous one of his time. Often covered international stories of politicians and worked with the likes of Ismet Inonu and other famous politicians. ...                                See full bio &raquo;";"{actor,""art department"",""miscellaneous crew""}";Umit Ulgen;https://images-na.ssl-images-amazon.com/images/M/MV5BMjgxNzEyNjQwOF5BMl5BanBnXkFtZTgwOTI1MTM2MDE@._V1_UY317_CR10,0,214,317_AL_.jpg;2016-11-17 15:06:33.274691;
68;nm8091879;"Linda Louise Duan is a British-Born Chinese Actress. Born in Chester, she moved to Essex, where she spent her high school years. After graduating, she moved to London to study at the International School of Corporeal Mime before moving to France to study at the Ecole Philippe Gaulier. After graduating in 2015, she temporarily moved to Israel for a...                                See full bio &raquo;";{actress,producer};Linda Louise Duan;https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ3MDg2NTk1Ml5BMl5BanBnXkFtZTgwNDkzNDc4OTE@._V1_UY317_CR20,0,214,317_AL_.jpg;2016-11-17 15:07:25.114807;
69;nm0000329;"Hong Kong's cheeky, lovable and best known film star, Jackie Chan endured many years of long, hard work and multiple injuries to establish international success via his early beginnings in Hong Kong's manic martial arts cinema industry. Jackie was born Kong-sang Chan on Hong Kong's famous Victoria Peak on April 7, 1954, to Charles and Lee-Lee Chan,...                                See full bio &raquo;";{actor,stunts,producer};Jackie Chan (I);https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MDM0MDUzM15BMl5BanBnXkFtZTcwOTI4MzU1Mw@@._V1_UY317_CR7,0,214,317_AL_.jpg;2016-11-17 23:38:35.368189;
70;nm0000204;"Natalie Portman was born Natalie Hershlag on June 9, 1981, in Jerusalem, Israel, to a Jewish family. She is the only child of Avner Hershlag, an Israeli-born doctor, and Shelley Stevens, an American-born artist (from Cincinnati, Ohio), who also acts as Natalie's agent. She left Israel for Washington, D.C., when she was still very young. After a ...                                See full bio &raquo;";{actress,producer,soundtrack};Natalie Portman;https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3ODE3Mjg1NV5BMl5BanBnXkFtZTcwNzA4ODcxNA@@._V1_UY317_CR11,0,214,317_AL_.jpg;2016-11-22 12:05:34.78733;
